hash_table,avg_diff,std_diff,cnt_diff,ss_diff
94.234.170.115_cfengine_tcp_cfengine_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,63774.38993089728,56198.792673410615,18.0,126900283664.17924
94.234.170.115_hostmon_tcp_hostmon_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,71440.91248142719,75287.78277586195,18.0,188228725571.4123
94.234.170.115_mdns_tcp_mdns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,33688.869169712074,53310.443940053134,18.0,68742976669.26587
94.234.170.115_noclog_tcp_noclog_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,46998.642185476085,57872.81251234908,18.0,96697163888.53304
94.234.170.115_nut_tcp_nut_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,9589.535091421823,59887.5074711041,33.0,117803086683.14673
94.234.170.115_postgresql_tcp_postgresql_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,78948.90850469803,59672.12143605588,18.0,172725698077.047
94.234.170.115_rfe_tcp_rfe_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,43825.43671564261,60224.32453961912,18.0,96230517786.0096
94.234.170.123_cfengine_tcp_cfengine_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,82351.53665083647,76837.3963611224,8.0,95582103066.92607
94.234.170.123_mdns_tcp_mdns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,98542.43431198595,100059.50200330863,6.0,108323187866.543
94.234.170.123_munin_tcp_munin_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,13965.72247004509,82357.25888414186,18.0,111839193324.4285
94.234.170.124_daap_tcp_daap_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,21537.67466152509,43729.034882009764,15.0,33729270331.35387
94.234.170.124_distmp3_tcp_distmp3_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,68475.8919187103,69806.42233940877,14.0,128993444634.64336
94.234.170.124_fido_tcp_fido_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-121513.24454625447,68418.34955450628,18.0,345356634250.8056
94.234.170.124_gnunet_tcp_gnunet_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,39199.116853912674,73446.51473704005,18.0,119362912677.59073
94.234.170.124_gris_tcp_gris_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,32621.30475943618,64475.51074856715,18.0,89825246702.65038
94.234.170.124_hylafax_tcp_hylafax_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,32900.311897158615,48942.80111114121,14.0,46294198468.88585
94.234.170.124_iax_tcp_iax_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,80376.29790902138,67243.79308673013,14.0,149227349930.81924
94.234.170.124_knetd_tcp_knetd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-2453.4238985511997,65916.01348431745,18.0,73972001371.16791
94.234.170.124_ripd_tcp_ripd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,43559.364352994504,81717.49247052753,18.0,147675253797.46695
94.234.170.124_sip_tcp_sip_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,58541.487030523174,62658.04309170605,14.0,99017874585.49596
94.234.170.124_svn_tcp_svn_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,56461.588095712665,67437.95192352822,15.0,111488946989.31026
94.234.170.124_xtell_tcp_xtell_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,22166.246035269327,42950.78775153328,14.0,30860806676.34972
94.234.170.124_zebra_tcp_zebra_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,37864.101253840665,75859.49614628498,18.0,123635696592.3596
94.234.170.98_dict_tcp_dict_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,32454.164980556026,62566.97895671456,33.0,160026062595.94876
94.234.170.98_distcc_tcp_distcc_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,32123.50936631723,59038.393795348056,22.0,95898407568.79962
94.234.170.98_fax_tcp_fax_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,48837.696145260335,57864.0959484035,20.0,111319229694.1304
94.234.170.98_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,12162.279577493668,53182.947435724505,39.0,113249104858.46301
94.234.170.98_iax_tcp_iax_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,57725.88977599143,65541.20842748402,20.0,148262917049.1614
